Player,Pos,Age,Team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,next_G,next_MP,next_PTS,next_TRB,next_AST,next_STL,next_BLK,next_TOV,next_FG%,next_3P%,next_eFG%,pts_change,ast_change,trb_change,mp_change,efg_change,breakout_score,Breakout,PTS_growth,AST_growth,TRB_growth,MP_growth,eFG%_growth
Al Jefferson,C,22.0,BOS,69,60,33.6,6.6,12.8,0.514,0.0,0.0,0.0,6.6,12.8,0.514,0.514,2.9,4.3,0.681,3.4,7.5,11.0,1.3,0.7,1.5,2.0,3.4,16.0,2007,82,35.6,21.0,11.1,1.4,0.9,1.5,2.0,0.5,0.0,0.5,5.0,0.09999999999999987,0.09999999999999964,2.0,-0.014000000000000012,0.46652890510576617,0,8.1,0.8,5.9,15.600000000000001,0.015000000000000013
Al Jefferson,C,23.0,MIN,82,82,35.6,8.8,17.6,0.5,0.0,0.1,0.0,8.8,17.5,0.502,0.5,3.5,4.8,0.721,3.8,7.4,11.1,1.4,0.9,1.5,2.0,2.7,21.0,2008,50,36.7,23.1,11.0,1.6,0.8,1.7,1.8,0.497,0.0,0.497,2.1000000000000014,0.20000000000000018,-0.09999999999999964,1.1000000000000014,-0.0030000000000000027,0.14622466700003087,0,5.0,0.09999999999999987,0.09999999999999964,2.0,-0.014000000000000012
Al Jefferson,C,24.0,MIN,50,50,36.7,9.7,19.5,0.497,0.0,0.1,0.0,9.7,19.4,0.499,0.497,3.7,5.0,0.738,3.4,7.5,11.0,1.6,0.8,1.7,1.8,2.8,23.1,2009,76,32.4,17.1,9.3,1.8,0.8,1.3,1.8,0.498,0.0,0.498,-6.0,0.19999999999999996,-1.6999999999999993,-4.300000000000004,0.0010000000000000009,-1.0705800922516897,0,2.1000000000000014,0.20000000000000018,-0.09999999999999964,1.1000000000000014,-0.0030000000000000027
Al-Farouq Aminu,SF,21.0,NOH,66,21,22.4,2.3,5.5,0.411,0.2,0.7,0.277,2.1,4.8,0.431,0.429,1.3,1.7,0.754,1.4,3.2,4.7,1.0,0.9,0.5,1.4,2.1,6.0,2012,76,27.2,7.3,7.7,1.4,1.2,0.7,1.5,0.475,0.211,0.479,1.2999999999999998,0.3999999999999999,3.0,4.800000000000001,0.04999999999999999,0.6874183226355429,1,0.40000000000000036,0.30000000000000004,1.4000000000000004,4.5,-0.02100000000000002
Al-Farouq Aminu,SF,22.0,NOH,76,71,27.2,3.0,6.2,0.475,0.1,0.3,0.211,2.9,6.0,0.486,0.479,1.3,1.8,0.737,1.8,5.9,7.7,1.4,1.2,0.7,1.5,2.0,7.3,2013,80,25.6,7.2,6.2,1.4,1.0,0.5,1.1,0.474,0.271,0.487,-0.09999999999999964,0.0,-1.5,-1.5999999999999979,0.008000000000000007,-0.34476269693284695,0,1.2999999999999998,0.3999999999999999,3.0,4.800000000000001,0.04999999999999999
Al-Farouq Aminu,SF,23.0,NOP,80,65,25.6,2.9,6.2,0.474,0.2,0.6,0.271,2.8,5.6,0.496,0.487,1.1,1.7,0.664,1.6,4.6,6.2,1.4,1.0,0.5,1.1,1.8,7.2,2014,74,18.5,5.6,4.6,0.8,0.9,0.8,0.7,0.412,0.274,0.459,-1.6000000000000005,-0.5999999999999999,-1.6000000000000005,-7.100000000000001,-0.02799999999999997,-0.8853825603673491,0,-0.09999999999999964,0.0,-1.5,-1.5999999999999979,0.008000000000000007
Al-Farouq Aminu,SF,24.0,DAL,74,3,18.5,2.0,4.8,0.412,0.5,1.7,0.274,1.5,3.1,0.485,0.459,1.1,1.6,0.712,1.5,3.1,4.6,0.8,0.9,0.8,0.7,1.9,5.6,2015,82,28.5,10.2,6.1,1.7,0.9,0.6,1.5,0.416,0.361,0.503,4.6,0.8999999999999999,1.5,10.0,0.043999999999999984,1.1169796230234423,1,-1.6000000000000005,-0.5999999999999999,-1.6000000000000005,-7.100000000000001,-0.02799999999999997
Alec Burks,SG,21.0,UTA,64,0,17.8,2.5,6.1,0.42,0.5,1.4,0.359,2.0,4.6,0.439,0.463,1.4,2.0,0.713,0.6,1.7,2.3,1.4,0.5,0.2,1.2,1.8,7.0,2013,78,28.1,14.0,3.3,2.7,0.9,0.2,1.9,0.457,0.35,0.487,7.0,1.3000000000000003,1.0,10.3,0.023999999999999966,1.3513342077965338,1,-0.20000000000000018,0.4999999999999999,0.09999999999999964,1.9000000000000004,0.013000000000000012
Alec Burks,SG,22.0,UTA,78,12,28.1,4.9,10.7,0.457,0.6,1.8,0.35,4.2,8.8,0.48,0.487,3.6,4.8,0.748,0.8,2.5,3.3,2.7,0.9,0.2,1.9,2.4,14.0,2014,27,33.3,13.9,4.2,3.0,0.6,0.2,1.9,0.403,0.382,0.447,-0.09999999999999964,0.2999999999999998,0.9000000000000004,5.199999999999996,-0.03999999999999998,0.08834367706426813,0,7.0,1.3000000000000003,1.0,10.3,0.023999999999999966
Alec Burks,SG,23.0,UTA,27,27,33.3,4.5,11.1,0.403,1.0,2.5,0.382,3.5,8.6,0.409,0.447,3.9,4.8,0.822,0.7,3.5,4.2,3.0,0.6,0.2,1.9,2.4,13.9,2015,31,25.7,13.3,3.5,2.0,0.6,0.1,1.6,0.41,0.405,0.458,-0.5999999999999996,-1.0,-0.7000000000000002,-7.599999999999998,0.01100000000000001,-0.6724121439329682,0,-0.09999999999999964,0.2999999999999998,0.9000000000000004,5.199999999999996,-0.03999999999999998
